Edge TPU Compiler version 16.0.384591198
Input: heavy_model_a.tflite
Output: heavy_model_a_edgetpu.tflite

Operator                       Count      Status

CONCATENATION                  2          Operation is otherwise supported, but not mapped due to some unspecified limitation
RESIZE_NEAREST_NEIGHBOR        27         Mapped to Edge TPU
RESIZE_NEAREST_NEIGHBOR        1          More than one subgraph is not supported
DEPTHWISE_CONV_2D              136        Mapped to Edge TPU
CONV_2D                        172        Mapped to Edge TPU
DEQUANTIZE                     2          Operation is working on an unsupported data type
QUANTIZE                       1          Mapped to Edge TPU
LOGISTIC                       1          Operation is otherwise supported, but not mapped due to some unspecified limitation
MAX_POOL_2D                    29         Mapped to Edge TPU
MAX_POOL_2D                    1          More than one subgraph is not supported
CUSTOM                         1          Operation is working on an unsupported data type
ADD                            5          More than one subgraph is not supported
ADD                            95         Mapped to Edge TPU
RESHAPE                        2          Operation is otherwise supported, but not mapped due to some unspecified limitation
RESHAPE                        8          Mapped to Edge TPU
