Edge TPU Compiler version 16.0.384591198
Input: heavy_model.tflite
Output: heavy_model_edgetpu.tflite

Operator                       Count      Status

RESHAPE                        8          More than one subgraph is not supported
RESHAPE                        2          Operation is otherwise supported, but not mapped due to some unspecified limitation
CONCATENATION                  2          Operation is otherwise supported, but not mapped due to some unspecified limitation
MAX_POOL_2D                    8          More than one subgraph is not supported
MAX_POOL_2D                    22         Mapped to Edge TPU
ADD                            15         More than one subgraph is not supported
ADD                            85         Mapped to Edge TPU
CUSTOM                         1          Operation is working on an unsupported data type
DEQUANTIZE                     2          Operation is working on an unsupported data type
CONV_2D                        110        Mapped to Edge TPU
CONV_2D                        62         More than one subgraph is not supported
QUANTIZE                       1          Mapped to Edge TPU
RESIZE_NEAREST_NEIGHBOR        4          More than one subgraph is not supported
RESIZE_NEAREST_NEIGHBOR        24         Mapped to Edge TPU
DEPTHWISE_CONV_2D              62         More than one subgraph is not supported
DEPTHWISE_CONV_2D              74         Mapped to Edge TPU
LOGISTIC                       1          Operation is otherwise supported, but not mapped due to some unspecified limitation
